Price,Adj Close,Close,High,Low,Open,Volume
Ticker,600519.SS,600519.SS,600519.SS,600519.SS,600519.SS,600519.SS
Date,,,,,,
2020-09-14,1612.6744384765625,1766.0,1769.0,1730.5799560546875,1745.0,3105601
2020-09-15,1607.1951904296875,1760.0,1769.989990234375,1747.75,1769.989990234375,2082087
2020-09-16,1575.3253173828125,1725.0999755859375,1764.81005859375,1719.0,1760.0,2251598
2020-09-17,1525.4842529296875,1670.52001953125,1700.0,1658.0,1700.0,6367985
2020-09-18,1547.838623046875,1695.0,1695.0,1635.010009765625,1665.0,4720140
2020-09-21,1522.0870361328125,1666.800048828125,1692.760009765625,1666.6600341796875,1692.760009765625,2244407
2020-09-22,1521.0732421875,1665.68994140625,1686.97998046875,1650.0,1650.0,2326547
2020-09-23,1506.7274169921875,1649.97998046875,1666.010009765625,1621.02001953125,1635.0,3572552
2020-09-24,1487.8609619140625,1629.3199462890625,1658.8800048828125,1626.800048828125,1635.969970703125,3005078
2020-09-25,1493.1483154296875,1635.1099853515625,1650.0,1625.0,1630.0,2258296
2020-09-28,1516.7906494140625,1661.0,1668.5,1635.18994140625,1635.18994140625,2423222
2020-09-29,1508.845947265625,1652.300048828125,1669.4000244140625,1652.300048828125,1669.3299560546875,1743078
2020-09-30,1523.639404296875,1668.5,1691.9000244140625,1660.0,1660.0,2708781
2020-10-09,1548.751953125,1696.0,1706.4200439453125,1688.0,1692.0,3423988
2020-10-12,1598.62060546875,1750.6099853515625,1750.6099853515625,1704.550048828125,1704.550048828125,4372904
2020-10-13,1588.0185546875,1739.0,1750.6199951171875,1735.0,1750.6199951171875,2294389
2020-10-14,1578.8868408203125,1729.0,1746.97998046875,1726.0,1740.0,2048139
2020-10-15,1575.2340087890625,1725.0,1735.0,1721.0,1721.1300048828125,1620436
2020-10-16,1563.3626708984375,1712.0,1734.5799560546875,1703.0,1725.0,1737738
2020-10-19,1551.491455078125,1699.0,1733.97998046875,1691.9000244140625,1725.0,1922632
2020-10-20,1583.45263671875,1734.0,1734.969970703125,1695.0,1695.300048828125,2773493
2020-10-21,1582.8408203125,1733.3299560546875,1742.1500244140625,1723.0,1734.0999755859375,1890137
2020-10-22,1591.21484375,1742.5,1745.0,1715.510009765625,1730.0,2248087
2020-10-23,1566.403564453125,1715.3299560546875,1747.5899658203125,1714.0,1740.780029296875,1929169
2020-10-26,1500.353271484375,1643.0,1662.9200439453125,1619.0,1619.0,6601529
2020-10-27,1483.916259765625,1625.0,1643.300048828125,1616.1199951171875,1643.0,4394440
2020-10-28,1520.2698974609375,1664.81005859375,1677.0,1625.0799560546875,1626.0,3463653
2020-10-29,1530.4884033203125,1676.0,1708.0,1647.0,1654.8399658203125,3937376
2020-10-30,1525.027587890625,1670.02001953125,1696.0,1665.0,1678.0,2605545
2020-11-02,1528.671142578125,1674.010009765625,1695.0,1672.0,1679.0,2106643
2020-11-03,1547.838623046875,1695.0,1705.9000244140625,1675.5,1684.989990234375,2349749
2020-11-04,1552.0211181640625,1699.5799560546875,1704.0,1685.0,1700.0,1644371
2020-11-05,1572.403076171875,1721.9000244140625,1732.47998046875,1712.0999755859375,1717.0,2352414
2020-11-06,1552.9705810546875,1700.6199951171875,1731.5899658203125,1690.0,1730.550048828125,2305153
2020-11-09,1591.2784423828125,1742.5699462890625,1750.6800537109375,1700.6199951171875,1701.3800048828125,4146970
2020-11-10,1593.49755859375,1745.0,1764.47998046875,1736.0,1752.9200439453125,3018944
2020-11-11,1581.0328369140625,1731.3499755859375,1777.5,1731.0,1745.0,3485073
2020-11-12,1584.1741943359375,1734.7900390625,1750.0,1722.27001953125,1730.010009765625,2347309
2020-11-13,1556.9705810546875,1705.0,1728.8800048828125,1691.0,1724.0,2815548
2020-11-16,1579.845703125,1730.050048828125,1730.050048828125,1697.260009765625,1711.0,3061349
2020-11-17,1566.8330078125,1715.800048828125,1742.3499755859375,1701.0699462890625,1740.0,2522403
2020-11-18,1546.6058349609375,1693.6500244140625,1720.530029296875,1683.1600341796875,1715.0,3517895
2020-11-19,1570.841552734375,1720.18994140625,1725.0,1680.5999755859375,1684.5,2781576
2020-11-20,1570.631591796875,1719.9599609375,1736.0,1712.6500244140625,1720.0,2187466
2020-11-23,1634.7823486328125,1790.2099609375,1809.9000244140625,1771.989990234375,1771.989990234375,6663724
2020-11-24,1610.3914794921875,1763.5,1782.5,1751.469970703125,1769.989990234375,3246536
2020-11-25,1576.950927734375,1726.8800048828125,1768.8800048828125,1724.0,1761.5,2822632
2020-11-26,1583.8087158203125,1734.3900146484375,1739.989990234375,1725.1800537109375,1726.0,2322830
2020-11-27,1587.01416015625,1737.9000244140625,1739.989990234375,1718.0,1732.6600341796875,2156861
2020-11-30,1565.10693359375,1713.9100341796875,1738.9000244140625,1713.9100341796875,1735.0,3194007
2020-12-01,1586.1922607421875,1737.0,1738.989990234375,1720.010009765625,1726.0,2819620
2020-12-02,1587.114501953125,1738.010009765625,1749.0,1731.0,1746.0,2357169
2020-12-03,1597.150390625,1749.0,1755.6600341796875,1732.0999755859375,1738.010009765625,2950578
2020-12-04,1637.4306640625,1793.1099853515625,1800.0999755859375,1755.0,1755.0,6249119
2020-12-07,1655.0460205078125,1812.4000244140625,1840.3900146484375,1800.550048828125,1802.699951171875,5833133
2020-12-08,1689.381591796875,1850.0,1875.0,1813.0,1815.0,6145400
2020-12-09,1680.2496337890625,1840.0,1866.0,1839.0,1861.5,3115212
2020-12-10,1673.7662353515625,1832.9000244140625,1849.77001953125,1828.0,1840.0,3265354
2020-12-11,1661.9862060546875,1820.0,1837.3199462890625,1804.81005859375,1834.780029296875,3077579
2020-12-14,1670.204833984375,1829.0,1829.97998046875,1815.0,1827.77001953125,3305200
2020-12-15,1658.3426513671875,1816.010009765625,1837.219970703125,1805.0,1833.5,2960497
2020-12-16,1680.2496337890625,1840.0,1845.6700439453125,1820.2099609375,1830.5,3215016
2020-12-17,1703.544921875,1865.510009765625,1868.0,1840.0,1845.5,3603064
2020-12-18,1684.8154296875,1845.0,1869.010009765625,1841.0799560546875,1851.81005859375,2707698
2020-12-21,1682.5328369140625,1842.5,1851.22998046875,1837.5999755859375,1840.0,3069672
2020-12-22,1717.68994140625,1881.0,1898.989990234375,1842.510009765625,1849.969970703125,4065060
2020-12-23,1681.7564697265625,1841.6500244140625,1906.199951171875,1821.02001953125,1896.9200439453125,4770609
2020-12-24,1671.428466796875,1830.3399658203125,1858.8800048828125,1795.02001953125,1815.0,3785714
2020-12-25,1671.1177978515625,1830.0,1847.0,1800.0,1802.989990234375,2308805
2020-12-28,1710.3846435546875,1873.0,1888.800048828125,1826.050048828125,1835.0,3008037
2020-12-29,1704.905517578125,1867.0,1886.800048828125,1855.3599853515625,1876.02001953125,2286759
2020-12-30,1765.1751708984375,1933.0,1933.0,1870.0,1870.0,3445210
2020-12-31,1824.531982421875,1998.0,1998.97998046875,1941.0,1941.0,3886007
