,id,code,pe_ratio,turnover_ratio,pb_ratio,ps_ratio,pcf_ratio,capitalization,market_cap,circulating_cap,circulating_market_cap,day,pe_ratio_lyr
2591,85782196,301182.XSHE,43.865,4.663,2.6141,4.1616,14.9264,9582.1699,24.8849,2396.0,6.2224,2022-08-16,45.521
2592,85782177,301183.XSHE,40.9471,15.9405,3.2176,6.8702,314.6173,8000.0,26.96,2000.0,6.74,2022-08-16,38.993
2593,85783129,301185.XSHE,34.3065,2.9056,3.0929,13.3823,8.5506,15341.7598,28.6584,3836.0,7.1656,2022-08-16,35.5038
2594,85782474,301186.XSHE,62.4575,5.9344,2.5297,6.2105,14.9701,7275.8823,27.5174,1820.0,6.8832,2022-08-16,57.3222
2595,85780027,301187.XSHE,35.4806,9.5405,3.0732,3.1322,-41.0035,18260.7656,40.8493,4329.9272,9.686,2022-08-16,35.2331
2596,85779823,301188.XSHE,33.7668,12.1194,3.3038,5.0471,15.8677,23241.0,44.46,4833.0532,9.2456,2022-08-16,35.6305
2597,85781119,301189.XSHE,45.5712,7.8473,1.8168,4.8682,3.4537,11489.6465,40.8917,3000.0,10.677,2022-08-16,32.872
2598,85784453,301190.XSHE,34.7628,9.9144,2.7978,9.9863,6.8356,21463.6504,56.2992,5366.0,14.075,2022-08-16,39.5437
2599,85782533,301191.XSHE,21.864,9.2995,2.9967,1.8232,67.3472,5334.0,43.4774,1334.0,10.8734,2022-08-16,25.7475
2600,85781999,301192.XSHE,45.1467,35.1166,5.2585,20.0378,15.3381,9990.0,30.5894,2497.5,7.6473,2022-08-16,43.4486
2601,85779799,301193.XSHE,46.6878,6.7382,2.7349,2.7603,186.579,12000.0,37.092,2847.948,8.802999999999999,2022-08-16,52.0964
2602,85783243,301195.XSHE,44.9018,19.8602,3.5756,11.533,2971.4814,8768.1162,70.1449,2020.7656,16.1661,2022-08-16,47.583
2603,85782139,301196.XSHE,26.7441,11.2815,1.8427,4.5681,10.3348,12480.0,52.3786,3120.0,13.0946,2022-08-16,27.3093
2604,85779771,301197.XSHE,42.5309,13.2464,2.992,9.122,-46.2941,12054.0,37.5844,2857.9031,8.9109,2022-08-16,43.6532
2605,85784080,301198.XSHE,47.3417,6.6771,3.3259,7.5606,34.1512,13000.0,29.535999999999998,3250.0,7.3839999999999995,2022-08-16,48.6383
2606,85780375,301199.XSHE,68.5076,10.8862,2.2609,4.7846,4.8274,13334.0,38.8286,3334.0,9.7086,2022-08-16,53.799
2607,85781433,301200.XSHE,29.7505,5.6596,4.2693,5.4343,7.7179,42000.0,234.27599999999998,3943.5352,21.997,2022-08-16,33.521
2608,85784178,301201.XSHE,53.7268,3.1722,2.8336,14.0626,13.9728,9669.6143,61.5664,2391.8569,15.229000000000001,2022-08-16,61.2994
2609,85780318,301206.XSHE,17.3466,11.5993,2.0291,5.4448,72.8196,20232.5703,91.7142,5058.1499,22.9286,2022-08-16,17.1296
2610,85780577,301207.XSHE,33.6862,6.1179,4.2299,11.4697,17.055999999999997,40001.0,210.2853,3451.5239,18.1447,2022-08-16,33.8639
2611,85783369,301208.XSHE,26.6836,9.8039,2.6168,2.7789,30.8814,6666.6699,33.08,1666.67,8.27,2022-08-16,27.0268
